absoluto	adjective	absolute, unconditional	no me gustó en absoluto	I did not like it at all
colar	transitive verb	to strain, to filter	no sentence available	no sentence available
concurrir	intransitive verb	to converge, to come together	concurrir a una reunión	to attend a meeting
condicionar	transitive verb	to condition, to determine	no sentence available	no sentence available
configurar	transitive verb	to shape, to form	no sentence available	no sentence available
consagrar	transitive verb	to consecrate	no sentence available	no sentence available
consolidar	transitive verb	to consolidate	no sentence available	no sentence available
constatar	transitive verb	to verify	no sentence available	no sentence available
contagiar	transitive verb	to infect	no sentence available	no sentence available
contradecir	transitive verb	to contradict	no sentence available	no sentence available
coronar	transitive verb	to crown	no sentence available	no sentence available
debilitar	transitive verb	to debilitate, to weaken	no sentence available	no sentence available
derramar	transitive verb	to spill	no sentence available	no sentence available
desafiar	transitive verb	to defy, to challenge	no sentence available	no sentence available
desfilar	intransitive verb	to parade, to march	no sentence available	no sentence available
despojar	transitive verb	to strip, to clear	no sentence available	no sentence available
devorar	transitive verb	to devour	no sentence available	no sentence available
diluir	transitive verb	to dilute	no sentence available	no sentence available
disculpar	transitive verb	to excuse, to pardon	no sentence available	no sentence available
dispersar	transitive verb	to disperse, to scatter	no sentence available	no sentence available
editar	transitive verb	to edit	no sentence available	no sentence available
emocionar	transitive verb	to move, to touch	no sentence available	no sentence available
encabezar	transitive verb	to head, to lead	no sentence available	no sentence available
encaminar	transitive verb	to direct, to channel	no sentence available	no sentence available
engendrar	transitive verb	to beget, to father	no sentence available	no sentence available
enlazar	verb	to join, to link, to fit together	no sentence available	no sentence available
entrevistar	transitive verb	to interview	no sentence available	no sentence available
espantar	transitive verb	to scare, to frighten	no sentence available	no sentence available
evaluar	transitive verb	to evaluate, to assess, to appraise	no sentence available	no sentence available
evocar	transitive verb	to evoke	no sentence available	no sentence available
expandir	transitive verb	to expand	no sentence available	no sentence available
fiar	transitive verb	to sell on credit	no sentence available	no sentence available
fingir	verb	to feign, to pretend	no sentence available	no sentence available
fortalecer	transitive verb	to strengthen, to fortify	no sentence available	no sentence available
frecuentar	transitive verb	to frequent, to haunt	no sentence available	no sentence available
hervir	intransitive verb	to boil, to bubble	no sentence available	no sentence available
igualar	transitive verb	to equalize	igualar el marcador	to even the score
inquietar	transitive verb	to disturb, to upset, to worry	no sentence available	no sentence available
insultar	transitive verb	to insult	no sentence available	no sentence available
interponer	transitive verb	to interpose	no sentence available	no sentence available
intuir	transitive verb	to intuit, to sense	no sentence available	no sentence available
inundar	transitive verb	to flood, to inundate	no sentence available	no sentence available
invocar	transitive verb	to invoke, to call on	no sentence available	no sentence available
latir	intransitive verb	to beat, to throb	me late que no va a venir	I have a feeling he's not going to come
liquidar	transitive verb	to liquefy	no sentence available	no sentence available
manipular	transitive verb	to manipulate	no sentence available	no sentence available
obrar	transitive verb	to work, to produce	obrar milagros	to work miracles
oscurecer	transitive verb	to darken	no sentence available	no sentence available
ostentar	transitive verb	to display, to flaunt	ostenta el récord mundial	he holds the world record
palpar	transitive verb	to feel, to touch	no sentence available	no sentence available
perdurar	intransitive verb	to last, to endure, to survive	no sentence available	no sentence available
poblar	transitive verb	to populate, to inhabit	no sentence available	no sentence available
predecir	transitive verb	to foretell, to predict	no sentence available	no sentence available
prevalecer	intransitive verb	to prevail, to triumph	no sentence available	no sentence available
prosperar	intransitive verb	to prosper, to thrive	no sentence available	no sentence available
reaparecer	intransitive verb	to reappear	no sentence available	no sentence available
rebajar	transitive verb	to reduce, to lower	a precios rebajados	at reduced prices, on sale
regar	transitive verb	to irrigate	no sentence available	no sentence available
reinar	intransitive verb	to reign	no sentence available	no sentence available
rematar	transitive verb	to finish off	no sentence available	no sentence available
remediar	transitive verb	to remedy, to repair	no sentence available	no sentence available
repasar	transitive verb	to pass by again	no sentence available	no sentence available
replicar	intransitive verb	to reply, to retort	no sentence available	no sentence available
restaurar	transitive verb	to restore	no sentence available	no sentence available
retrasar	transitive verb	to delay, to hold up	no sentence available	no sentence available
reventar	intransitive verb	to burst, to blow up	no sentence available	no sentence available
sumergir	transitive verb	to submerge, to immerse, to plunge	no sentence available	no sentence available
sustentar	transitive verb	to support, to hold up	no sentence available	no sentence available
torcer	transitive verb	to bend, to twist	no sentence available	no sentence available
trepar	intransitive verb	to climb	trepar a un árbol	to climb up a tree
vacilar	intransitive verb	to hesitate, to vacillate, to waver	no sentence available	no sentence available
vibrar	intransitive verb	to vibrate	no sentence available	no sentence available
vincular	transitive verb	to tie, to link, to connect	no sentence available	no sentence available
abierto	adjective	open	una puerta/boca/caja abierta	an open door/mouth/box
alto	adjective	tall, high	un hombre/edificio alto	a tall man/building
ambos	adjective & pronoun	both	no sentence available	no sentence available
anterior	adjective	previous	tiempos anteriores	earlier times
antiguo	adjective	ancient, old	a la antigua	in the old-fashioned way
aquel	pronoun	that (one), those (ones)	aquel/aquél fue un año récord	that was a record year
bajo	adjective	low	en voz baja	in a low voice
blanco	masculine noun	white (color)	dar en el blanco	to hit the target, to hit the nail on the head
bueno	adjective	good	una buena idea	a good idea
cada	adjective	each, every	cuestan diez pesos cada una	they cost ten pesos each
capaz	adjective	capable, able	capaz de trabajar	able to work
cierto	adjective	true, certain, definite	lo cierto es que …	the fact is that …
claro	adverb	clearly	habla más claro	speak more clearly
completo	adjective	complete, full, whole	las obras completas	the complete works
común	adjective	common	no sentence available	no sentence available
contrario	adjective	contrary, opposite	al contrario	on the contrary
cuyo	adjective	whose, of whom, of which	no sentence available	no sentence available
demás	adjective	remaining	las demás tareas	the rest of the chores
demasiado	adverb	too	vas demasiado aprisa	you're going too fast
diferente	adjective	different	diferente a/de	different from
difícil	adjective	difficult, hard	difícil de describir	hard to describe
distinto	adjective	different	distinto de/a	different from/than
económico	adjective	economic, economical	no sentence available	no sentence available
enorme	adjective	enormous, huge	no sentence available	no sentence available
español	adjective	Spanish	no sentence available	no sentence available
especial	adjective & masculine noun	special	no sentence available	no sentence available
grande	adjective	large, big	un libro grande	a big book
igual	adverb	in the same way	las cosas siguen igual	things are the same as ever
importante	adjective	important, significant	no sentence available	no sentence available
libre	adjective	free	un país libre	a free country
malo	adjective	bad	mala suerte	bad luck
mayor	adjective	bigger, larger, greater, elder, older	hacerse mayor	to grow up
medio	adverb	half	está medio dormida	she's half asleep
mejor	adverb	better	Carla cocina mejor que Ana	Carla cooks better than Ann
menor	adjective	smaller, lesser, younger	es menor que su hermana	he's younger than his sister
menos	adverb	less	llueve menos en agosto	it rains less in August
mi	masculine noun	E	mi sostenido/bemol	E sharp/flat
mismo	adverb	right, exactly	hazlo ahora mismo	do it right now
natural	adjective	natural	como es natural	naturally, as expected
necesario	adjective	necessary	no sentence available	no sentence available
negro	adjective	black, dark	la cosa se está poniendo negra	things are looking bad
nuestro	pronoun	ours, our own	el nuestro es más grande	ours is bigger
nuevo	adjective	new	una casa nueva	a new house
otro	adjective	other	en otro juego, ellos ganaron	in another game, they won
pequeño	adjective	small, little	un libro pequeño	a small book
pobre	adjective	poor, impoverished	¡pobre de mí!	poor me!
poco	adverb	little, not much	poco probable	not very likely
posible	adjective	possible	es posible que …	it's possible that …
primero	adjective	first	el primer paso	the first step
principal	adjective	main, principal	no sentence available	no sentence available
profundo	adjective	deep	poco profundo	shallow
propio	adjective	own	su propia casa	his own house
próximo	adjective	near, close	la Navidad está próxima	Christmas is almost here
real	adjective	real, true	no sentence available	no sentence available
siguiente	adjective	next, following	no sentence available	no sentence available
social	adjective	social	no sentence available	no sentence available
solo	adjective	alone, by oneself	me dejaron solo	they left me on my own
su	adjective	his, her, its, their, one's	su libro	her book
tal	adverb	so, in such a way	tal como lo hice	just the way I did it
tanto	adverb	so much	te quiero tanto	I love you so much
tercero	adjective	third	el tercer piso/grado	the third floor/grade
todo	adjective	all, whole, entire	toda la comunidad	the whole community
tu	adjective	your	tu vestido	your dress
último	adjective	last, final	la última galleta	the last cookie
único	adjective	only, sole	lo único que necesito	the only thing I need
verdadero	adjective	true, real	no sentence available	no sentence available
viejo	adjective	old, elderly	viejas tradiciones	old traditions
vivo	adjective	alive	transmisión en vivo	live broadcast
bastante	adverb	enough, sufficiently	he trabajado bastante	I have worked enough
mucho	adverb	(very) much, a lot	mucho más fácil/rápido/grande	much easier/faster/bigger
alguno	adjective	some, any	en algunos casos	in some cases
ninguno	adjective	no, none	no es ninguna tonta	she's no fool
además	adverb	besides, furthermore	no sentence available	no sentence available
ahí	adverb	there	ahí está	there it is
ahora	adverb	now	ahora voy	I'm coming now
allá	adverb	there, over there	allá arriba	up there
allí	adverb	there, over there	todos están allí	everyone's there
antes	adverb	before	no se me ocurrió antes	it didn't occur to me before
aquí	adverb	here	aquí está	here it is
así	adverb	like this, like that, so	así se hace	that's how it's done
atrás	adverb	back, behind	la parte de atrás	the back/rear part
aún	adverb	even	ni aun en coche llegaría a tiempo	I wouldn't arrive on time even if I drove
casi	adverb	almost, nearly	casi un año	almost a year
cerca	adverb	nearby, close by	vive cerca	he lives nearby
como	adverb	around, about	cuesta como 500 pesos	it costs around 500 pesos
dentro	adverb	in, inside	por dentro	on the inside
después	adverb	afterward, later	mucho después	much later
donde	conjunction	where	el pueblo donde vivo	the town where I live
durante	preposition	during	durante todo el día	all day long
encima	adverb	on, on top (of)	se me cayó encima	it fell on (top of) me
entonces	adverb	then	no sentence available	no sentence available
fuera	adverb	outside, out	por fuera	on the outside
hoy	adverb	today	hoy mismo	right now, this very day
incluso	adverb	even, in fact	es importante e incluso crucial	it is important and even crucial
lejos	adverb	far away, distant	a lo lejos	in the distance, far off
luego	conjunction	therefore	pienso, luego existo	I think, therefore I am
muy	adverb	very, quite	es muy inteligente	she's very intelligent
no	adverb	no	¿quieres más? no, gracias	do you want more? no, thanks
nunca	adverb	never, ever	nunca es tarde	it's never too late
pronto	adverb	quickly, promptly	no sentence available	no sentence available
realmente	adverb	really, in reality	no sentence available	no sentence available
si	masculine noun	B	si sostenido/bemol	B sharp/flat
siempre	adverb	always	siempre tienes hambre	you're always hungry
solamente	adverb	only, just	no sentence available	no sentence available
también	adverb	too, as well, also	no sentence available	no sentence available
tampoco	adverb	neither, not either	ni yo tampoco	me neither
tan	adverb	so, so very	no es tan difícil	it is not that difficult
todavía	adverb	still, yet	todavía puedes verlo	you can still see it
ya	adverb	already	ya terminó	she's finished already
él	pronoun	the one	me gusta el verde	I like the green one
lo	pronoun	him, it	lo vi ayer	I saw him yesterday
un	article	a, an	un año	a year
aunque	conjunction	though, although, even if, even though	no sentence available	no sentence available
cómo	adverb	around, about	cuesta como 500 pesos	it costs around 500 pesos
dónde	conjunction	where	el pueblo donde vivo	the town where I live
más	adverb	more	¿hay algo más grande?	is there anything bigger?
mientras	adverb	meanwhile, in the meantime	mientras más como, más quiero	the more I eat, the more I want
ni	conjunction	neither, nor	no es (ni) bueno ni malo	it's neither good nor bad
o	conjunction	or	¿vienes con nosotros o te quedas?	are you coming with us or staying?
pero	masculine noun	fault, defect	ponerle peros a	to find fault with
porque	masculine noun	reason, cause	no explicó el porqué	he didn't explain the reason
pues	conjunction	since, because, for	lo hicieron, pues consideraron que era necesario	they did it because they considered it necessary
que	conjunction	that	dice que está listo	he says (that) he's ready
sí	masculine noun	B	si sostenido/bemol	B sharp/flat
sino	conjunction	but, rather	no será hoy, sino mañana	it won't be today, but tomorrow
y	conjunction	and	mi hermano y yo	my brother and I
acción	feminine noun	action	no sentence available	no sentence available
actividad	feminine noun	activity	no sentence available	no sentence available
atención	feminine noun	attention	no sentence available	no sentence available
base	feminine noun	base, bottom	sentar las bases de	to lay the foundation for
cabeza	feminine noun	head	de pies a cabeza	from head to toe
calle	feminine noun	street, road	calle de sentido único	one-way street
cantidad	adverb	a lot	me gustó cantidad	I liked it a lot
cara	feminine noun	face	¡qué buena cara tiene ese pastel!	that cake looks delicious!
carrera	feminine noun	run, running	a la carrera	at full speed
casa	feminine noun	house	una casa de dos pisos	a two-story house
ciudad	feminine noun	city, town	no sentence available	no sentence available
clase	feminine noun	class	no sentence available	no sentence available
condición	feminine noun	condition, state	en buenas/malas condiciones	in good/bad condition
cosa	feminine noun	thing, object	no sentence available	no sentence available
cuenta	feminine noun	calculation, count	cuenta corriente	checking account
cuestión	feminine noun	matter, affair	no sentence available	no sentence available
diferencia	feminine noun	difference	partir la diferencia	to split the difference
duda	feminine noun	doubt	no cabe duda	there's no doubt about it
edad	feminine noun	age	¿qué edad tiene?	how old is she?
época	feminine noun	epoch, age, period	no sentence available	no sentence available
especie	feminine noun	species	no sentence available	no sentence available
experiencia	feminine noun	experience	no sentence available	no sentence available
falta	feminine noun	lack	falta de dinero/interés	lack of money/interest
familia	feminine noun	family	ser como de la familia	to be like one of the family
figura	feminine noun	figure	figura retórica	figure of speech
forma	feminine noun	form, shape	tomar forma	to take shape
fuerza	feminine noun	strength	tener fuerzas para	to have the strength to
gente	feminine noun	people	no sentence available	no sentence available
gracia	feminine noun	grace	lo hizo con gracia	she did it gracefully
guerra	feminine noun	war	declarar la guerra	to declare war
historia	feminine noun	history	historia universal	world history
hora	feminine noun	hour	media hora	half an hour
idea	feminine noun	idea, notion	una buena/mala idea	a good/bad idea
imagen	feminine noun	image, picture	no sentence available	no sentence available
importancia	feminine noun	importance	no sentence available	no sentence available
ley	feminine noun	law	aprobar/derogar una ley	to pass/repeal a law
libertad	feminine noun	freedom, liberty	tomarse la libertad de	to take the liberty of
línea	feminine noun	line	línea divisoria	dividing line
luz	feminine noun	light	luz del sol	sunlight
madre	feminine noun	mother	madre biológica/adoptiva	biological/adoptive mother
manera	feminine noun	way, manner, fashion	cada uno lo hace a su manera	everyone does it their own way
mano	feminine noun	hand	lávate las manos	wash your hands
medida	feminine noun	measurement, measure	hecho a medida	custom-made
mesa	feminine noun	table	mesa de cocina	kitchen table
muerte	feminine noun	death	amenaza de muerte	death threat
mujer	feminine noun	woman	no sentence available	no sentence available
necesidad	feminine noun	need, necessity	por necesidad	out of necessity
noche	feminine noun	night, nighttime, evening	esta noche	tonight
obra	feminine noun	work	obra de arte	work of art
ocasión	feminine noun	occasion, time	en alguna ocasión	occasionally, sometimes
palabra	feminine noun	word	en otras palabras	in other words
parte	masculine noun	report, dispatch	parte meteorológico	weather report
persona	feminine noun	person	miles de personas	thousands of people
posibilidad	feminine noun	possibility	existe la posibilidad de que …	the possibility exists that …
pregunta	feminine noun	question	no sentence available	no sentence available
puerta	feminine noun	door (of a house, etc.), entrance (of a hotel, etc.), gate (in a fence, etc.)	llamar a la puerta	to knock at/on the door
razón	feminine noun	reason, motive	en razón de	by reason of, because of
realidad	feminine noun	reality	no sentence available	no sentence available
relación	feminine noun	relation, connection, relevance	no sentence available	no sentence available
respuesta	feminine noun	answer, response	no sentence available	no sentence available
semana	feminine noun	week	no sentence available	no sentence available
situación	feminine noun	situation	no sentence available	no sentence available
sociedad	feminine noun	society	sociedad democrática	democratic society
tierra	feminine noun	land	vender tierra	to sell land
verdad	feminine noun	truth	es verdad	it's true
vez	feminine noun	time, occasion	a la vez	at the same time
vida	feminine noun	life	con vida	alive
vista	feminine noun	vision, eyesight	perder la vista	to lose one's eyesight
voz	feminine noun	voice	alzar la voz	to raise one's voice
zona	feminine noun	zone, district, area	zona comercial	business district
agua	feminine noun	water	en aguas internacionales	in international waters
acuerdo	masculine noun	agreement	no sentence available	no sentence available
aire	masculine noun	air	aire frío	cold air
amigo	adjective	friendly, close	es muy amigo mío	he's a very good friend of mine
amor	masculine noun	love	un poema de amor	a love poem
animal	adjective	animal	no sentence available	no sentence available
año	masculine noun	anus	no sentence available	no sentence available
aspecto	masculine noun	aspect	no sentence available	no sentence available
cabo	masculine noun	end	al cabo de dos semanas	at the end of two weeks
cambio	masculine noun	change, alteration	cambio climático	climate change
camino	masculine noun	path, road	ponerse en camino	to set off
campo	masculine noun	countryside, country	su campo de responsabilidad	her area of responsibility
caso	masculine noun	case	en caso de	in case of
centro	masculine noun	center	centro de atención/gravedad	center of attention/gravity
color	masculine noun	color	no sentence available	no sentence available
conocimiento	masculine noun	knowledge	no sentence available	no sentence available
cuerpo	masculine noun	body	cuerpo policial	police force
día	masculine noun	day	buenos días	hello, good morning
dinero	masculine noun	money	hacer/ganar/recaudar dinero	to make/earn/raise money
dios	noun	god, goddess	no sentence available	no sentence available
don	masculine noun	gift, present	don de gente(s)/mando	people/leadership skills
efecto	masculine noun	effect	tener efecto	to take effect
ejemplo	masculine noun	example	no sentence available	no sentence available
esfuerzo	masculine noun	effort	no sentence available	no sentence available
espacio	masculine noun	space, room	hay mucho espacio	there is plenty of space
estado	masculine noun	state, condition	estar en buen/mal estado	to be in good/bad condition
estudio	masculine noun	study	estar en estudio	to be under consideration
favor	masculine noun	favor	¿me haces un favor?	will you do me a favor?
fin	masculine noun	end	dar/poner fin a	to end, to put an end to
fondo	masculine noun	bottom	el fondo del océano/barril	the bottom of the ocean/barrel
gobierno	masculine noun	government	no sentence available	no sentence available
grupo	masculine noun	group	no sentence available	no sentence available
hecho	adjective	made, done	hecho a mano	handmade
hijo	noun	son	hijo adoptivo	adopted son
hombre	masculine noun	man	el hombre	man, mankind
interés	masculine noun	interest	su interés por la ciencia	her interest in science
juego	masculine noun	play, playing	poner/entrar en juego	to bring/come into play
lado	masculine noun	side	el lado izquierdo/derecho	the left/right side
ladrón	noun	robber, thief, burglar	no sentence available	no sentence available
libro	masculine noun	book	libro de texto/cocina	textbook/cookbook
lugar	masculine noun	place, position	lugar de nacimiento/trabajo	birthplace/workplace
mes	masculine noun	month	no sentence available	no sentence available
miedo	masculine noun	fear	le tiene miedo al perro	he's scared of the dog
minuto	masculine noun	minute	no sentence available	no sentence available
modo	masculine noun	way, manner, mode	de un modo u otro	one way or another
momento	masculine noun	moment, instant	espera un momentito	wait just a moment
movimiento	masculine noun	movement, motion	movimiento del cuerpo	bodily movement
mundo	masculine noun	world	alrededor del mundo	around the world
niño	noun	child, boy	los niños	the children
nivel	masculine noun	level, height	nivel del mar	sea level
nombre	masculine noun	name	nombre y apellido	first and last name, full name
número	masculine noun	number	número impar	odd number
objeto	masculine noun	object, thing	objetos de valor	valuables
ojo	masculine noun	eye	un hombre con/de ojos verdes	a man with green eyes
padre	adjective	fantastic, great	no sentence available	no sentence available
país	masculine noun	country, nation	no sentence available	no sentence available
papel	masculine noun	paper, piece of paper	hizo el papel de Romeo	he played the part of Romeo
partido	masculine noun	(political) party	partido de futbol	soccer game
paso	adjective	dried	ciruela pasa	prune
peso	masculine noun	weight, heaviness	perder/ganar peso	to lose/gain weight
pie	masculine noun	foot	pie de la cama	foot of the bed
poder	auxiliary verb	to be able to, can	no puede hablar	he can't speak
principio	masculine noun	beginning	empieza por el principio	start at the beginning
problema	masculine noun	problem	resolver un problema	to solve a problem
programa	masculine noun	program (on television, etc.)	no sentence available	no sentence available
pueblo	masculine noun	people	no sentence available	no sentence available
punto	masculine noun	dot, point	a las dos en punto	at two o'clock sharp
respecto	masculine noun	in regard to, concerning	no sentence available	no sentence available
resto	masculine noun	rest, remainder	restos de comida	leftovers
resultado	masculine noun	result, outcome	no sentence available	no sentence available
santo	adjective	holy, saintly	el Santo Padre	the Holy Father
señor	noun	gentleman	señoras y señores	ladies and gentlemen
sentido	adjective	heartfelt, sincere	mi más sentido pésame	my sincerest condolences
ser	intransitive verb	to be	él es mi hermano	he is my brother
servicio	masculine noun	service	servicio postal	postal service
siglo	masculine noun	century	el Siglo de Oro	the Golden Age
sistema	masculine noun	system	sistema nervioso	nervous system
suelo	masculine noun	ground	caerse al suelo	to fall down, to hit the ground
te	pronoun	you	te quiero	I love you
tema	masculine noun	theme, topic, subject	no sentence available	no sentence available
tiempo	masculine noun	time	justo a tiempo	just in time
tipo	masculine noun	type, kind, sort	tipo de interés	interest rate
trabajo	masculine noun	work, job	tengo mucho trabajo	I have a lot of work to do
valor	masculine noun	value, worth, importance	no sentence available	no sentence available
viaje	masculine noun	trip, journey	ir de viaje	to go on a trip
orden	masculine noun	order	todo está en orden	everything's in order
ciento	adjective	one hundred	ciento uno	one hundred and one
cinco	adjective & masculine noun	five	mi hija tiene cinco años	my daughter is five (years old)
cuatro	adjective & masculine noun	four	tiene cuatro años	she's four years old
diez	masculine noun	ten	el diez de julio	(on) the tenth of July, (on) July tenth
dos	adjective & masculine noun	two	ella tiene dos años	she's two (years old)
mil	adjective & pronoun	thousand	no sentence available	no sentence available
ocho	adjective & masculine noun	eight	tiene ocho años	he's eight (years old)
seis	adjective & masculine noun	six	tiene seis años	she's six (years old)
siete	adjective & masculine noun	seven	tiene siete años	she's seven (years old)
tres	adjective & masculine noun	three	tiene tres años	she's three years old
uno	adjective	one	una cosa más	one more thing
a	preposition	to	vamos a México	we're going to Mexico
ante	masculine noun	elk, moose	no sentence available	no sentence available
con	preposition	with	vengo con mi padre	I'm going with my father
contra	masculine noun	con	los pros y los contras	the pros and cons
de	preposition	of	la casa de Pepe	Pepe's house
desde	preposition	from	desde arriba	from above
en	preposition	in (a box, building, city, etc.)	en el aire	in the air
entre	preposition	between	entre las dos ciudades/fechas	between the two cities/dates
hacia	preposition	toward, towards	hacia abajo	downward
hasta	preposition	until, up until	hasta ahora/entonces	until now/then
para	preposition	for	un regalo para ti	a present for you
por	preposition	for, during	se quedaron allí por la semana	they stayed there for the week
según	adverb	it depends	según y como	it all depends on
sin	preposition	without	sin querer	unintentionally
sobre	masculine noun	envelope	un sobre de sazón	a packet of seasoning
algo	adverb	somewhat, rather	estaba algo nervioso	he was a little nervous
alguien	pronoun	somebody, someone	alguien gritó	someone shouted
cual	pronoun	who, whom, which	la razón por la cual lo dije	the reason I said it
cuál	pronoun	who, whom, which	la razón por la cual lo dije	the reason I said it
ello	pronoun	it	es por ello que me voy	that's why I'm going
eso	pronoun	that	eso no me gusta	I don't like that
esto	pronoun	this	¿qué es esto?	what is this?
la	masculine noun	A	la sostenido/bemol	A sharp/flat
le	pronoun	to her, to him, to it	¿qué le dijiste?	what did you tell him?
me	pronoun	me	me vieron	they saw me
mí	masculine noun	E	mi sostenido/bemol	E sharp/flat
nada	adverb	not at all, not in the least	no estamos nada cansados	we are not at all tired
nadie	pronoun	nobody, no one	no vi a nadie	I didn't see anyone
nos	plural pronoun	us	nos enviaron a la frontera	they sent us to the border
nosotros	plural pronoun	we	nosotros llegamos ayer	we arrived yesterday
qué	conjunction	that	dice que está listo	he says (that) he's ready
quien	pronoun	who, whom	no sé quien ganará	I don't know who will win
quién	pronoun	who, whom	no sé quien ganará	I don't know who will win
se	pronoun	to him, to her, to you, to them	se los daré a ella	I'll give them to her
usted	pronoun	you	usted la conoce	you know her
yo	pronoun	I	yo la vi	I saw her
abrir	transitive verb	to open (a door, an umbrella, etc.)	abrir paso a	to make way for
acabar	intransitive verb	to finish, to end	ya acabo	I'm almost done
aceptar	transitive verb	to accept	no sentence available	no sentence available
acercar	transitive verb	to bring near, to bring closer	no sentence available	no sentence available
alcanzar	transitive verb	to reach	no sentence available	no sentence available
aparecer	intransitive verb	to appear	no sentence available	no sentence available
aprender	verb	to learn	no sentence available	no sentence available
ayudar	transitive verb	to help, to assist	ayúdame a levantar esta caja	help me lift this box
buscar	transitive verb	to look for (a person, an object, etc.), to seek (revenge, etc.)	ve a buscar ayuda	go (and) get help
caer	intransitive verb	to fall	cayó al suelo	he fell on the floor/ground
cambiar	transitive verb	to change	le cambió la vida	it changed her life
cerrar	transitive verb	to close, to shut (a door, a book, etc.)	cerrar los ojos	to close one's eyes
comenzar	verb	to begin, to start	comenzó a trabajar	he started to work
comer	transitive verb	to eat	no sentence available	no sentence available
comprar	transitive verb	to buy, to purchase	no sentence available	no sentence available
comprender	transitive verb	to comprehend, to understand	no sentence available	no sentence available
conocer	transitive verb	to know, to be acquainted with	¿lo conoces?	do you know him?
conseguir	transitive verb	to get, to obtain	consiguió acabar	she managed to finish
considerar	transitive verb	to consider, to think about	considerar la posibilidad	to consider the possibility
contar	transitive verb	to count	contar el dinero	to count the money
continuar	verb	to continue	continuó trabajando	she continued working, she continued to work
convertir	transitive verb	to convert (someone)	no sentence available	no sentence available
correr	intransitive verb	to run	corrió a/hacia la puerta	he ran to/towards the door
crear	transitive verb	to create, to cause	no sentence available	no sentence available
creer	verb	to believe	creer en	to believe in
cumplir	transitive verb	to accomplish, to carry out	su hermana cumple (los) 20 (años) el viernes	her sister will be 20 on Friday
dar	transitive verb	to give (a gift, a donation, etc.)	dale una oportunidad	give him a chance
decidir	transitive verb	to decide	decidí ir	I decided to go
decir	transitive verb	to say	dice que no irá	she says she won't go
dedicar	transitive verb	to dedicate, to devote	no sentence available	no sentence available
dejar	transitive verb	to leave	dejé la cartera en casa	I left my purse at home
desarrollar	transitive verb	to develop	no sentence available	no sentence available
descubrir	transitive verb	to discover, to find out	no sentence available	no sentence available
detener	transitive verb	to arrest, to detain	no sentence available	no sentence available
dirigir	transitive verb	to run, to manage (a business, etc.), to lead (a group, etc.)	dirigir la mirada a/hacia	to look at/towards
echar	transitive verb	to throw, to toss (a coin), to cast (an anchor, a net)	lo echó a la basura	she threw it away
elegir	transitive verb	to choose, to select	no sentence available	no sentence available
empezar	verb	to start, to begin	empezar a hacer algo	to start to do something, to start doing something
encontrar	transitive verb	to find	encontré el libro	I found the book
entender	transitive verb	to understand	no entiendo por qué	I don't understand why
entrar	intransitive verb	to enter, to go in, to come in	entré a la casa	I went in the house
escribir	verb	to write	escribir una novela/palabra	to write a novel/word
escuchar	transitive verb	to listen to	no sentence available	no sentence available
esperar	transitive verb	to wait for	espero a un amigo	I'm waiting for a friend
estar	auxiliary verb	to be	estoy aprendiendo inglés	I'm learning English
estudiar	verb	to study	no sentence available	no sentence available
evitar	transitive verb	to avoid	no sentence available	no sentence available
existir	intransitive verb	to exist	no sentence available	no sentence available
explicar	transitive verb	to explain	no sentence available	no sentence available
fijar	transitive verb	to fasten, to affix	fijar su residencia	to take up residence
formar	transitive verb	to form, to make	no sentence available	no sentence available
ganar	transitive verb	to win	ganar tiempo	to buy time
gustar	transitive verb	to taste	¿gustan pasar?	would you like to come in?
haber	auxiliary verb	have, has	no ha llegado el envío	the shipment hasn't arrived
hablar	intransitive verb	to speak, to talk	hablar en broma	to be joking
hacer	transitive verb	to make (a cake, a list, a law, etc.), to build (a building), to write (a book, a check)	hacer planes	to make plans
imaginar	transitive verb	to imagine	no sentence available	no sentence available
importar	intransitive verb	to matter, to be important	no importa	it doesn't matter, it's not important
indicar	transitive verb	to indicate	no sentence available	no sentence available
intentar	transitive verb	to attempt, to try	no sentence available	no sentence available
interesar	transitive verb	to interest	no sentence available	no sentence available
ir	intransitive verb	to go	ir a pie	to go on foot, to walk
jugar	intransitive verb	to play	jugar al fútbol	to play soccer
leer	verb	to read	leer los labios	to lip-read, to read lips
levantar	transitive verb	to lift, to raise	levanté la tapa	I lifted the lid
llamar	transitive verb	to call, to name	la llamamos Paulita	we call her Paulita
llegar	intransitive verb	to arrive	llegar temprano/tarde	to arrive early/late
llevar	transitive verb	to carry, to take (away)	le llevé las maletas	I carried her bags
lograr	transitive verb	to get, to obtain	no sentence available	no sentence available
mantener	transitive verb	to support, to feed	mantener uno su familia	to support one's family
mirar	transitive verb	to look at	miró el reloj	she looked at her watch
morir	intransitive verb	to die	murió de cáncer	he died of cancer
mostrar	transitive verb	to show	no sentence available	no sentence available
mover	transitive verb	to move, to shift	mover la cabeza (diciendo que sí)	to nod
nacer	intransitive verb	to be born	nací en Guatemala	I was born in Guatemala
necesitar	transitive verb	to need	no sentence available	no sentence available
observar	transitive verb	to observe, to watch	estábamos observando a los niños	we were watching the children
obtener	transitive verb	to obtain, to secure, to get	no sentence available	no sentence available
ocupar	transitive verb	to occupy, to take possession of	no sentence available	no sentence available
ocurrir	intransitive verb	to occur, to happen	no sentence available	no sentence available
ofrecer	transitive verb	to offer	no sentence available	no sentence available
oír	intransitive verb	to hear	no sentence available	no sentence available
